Question,Answer
"What is AI?","AI stands for Artificial Intelligence."
"What is machine learning?","Machine learning helps computers learn from data."
"What is Python?","Python is a programming language."
"How to reset password?","Click on Forgot Password to reset your password."
"How to contact support?","You can contact support through email or phone."
"What is NLP?","NLP stands for Natural Language Processing."
"What is a chatbot?","A chatbot is a program that interacts with users automatically."
"How to create an account?","Click on the Sign Up button and fill the details."
"How to login?","Enter your username and password to login."
"What is Streamlit?","Streamlit is a Python library used for web apps."
"What is data science?","Data science is the study of extracting insights from data."
"What is deep learning?","Deep learning is a subset of machine learning using neural networks."
"Can I change my password?","Yes you can change it in account settings."
"How to update profile?","Go to profile settings and click edit profile."
"What is cloud computing?","Cloud computing provides services over the internet."
"What is cybersecurity?","Cybersecurity protects systems from digital attacks."
"How to upload files?","Click on the upload button and choose your file."
"What is SQL?","SQL is used to manage databases."
"What is Power BI?","Power BI is a data visualization tool by Microsoft."
"What is a database?","A database stores organized information digitally."
"How to logout?","Click the logout button at the top right corner."
"What is Java?","Java is an object oriented programming language."
"What is HTML?","HTML is used to create web pages."
"What is CSS?","CSS is used to style web pages."
"What is JavaScript?","JavaScript adds interactivity to websites."
"What is an API?","API allows communication between software applications."
"What is GitHub?","GitHub is a platform for storing and sharing code."
"What is computer vision?","Computer vision helps computers understand images and videos."
"How to install Python?","Download Python from the official website and install it."
"What is artificial intelligence?","Artificial Intelligence enables machines to mimic human intelligence."
